;en;pt;es;de;da;sv;no
STR_WELCOME;WELCOME;BEM-VINDO;BIENVENIDO;WILLKOMMEN;VELKOMMEN;VÄLKOMMEN;VELKOMMEN
STR_START;START GAME;INICIAR JOGO;"EMPEZAR\nJUEGO";"SPIEL\nSTARTEN";"START\nSPIL";"STARTA\nSPEL";"START\nSPILL"
STR_BACK;BACK;VOLTAR;ATRÁS;ZURÜCK;TILBAGE;TILLBAKA;TILBAKE
STR_FULLSCREEN_ON;FULLSCREEN:\nON;ECRÃ INTEIRO:\nLIGADO;PANTALLA\nCOMPLETA: ON;VOLLBILD:\nAN;FULD SKÆRM:\nTIL;FULLSKÄRM:\nPÅ;FULLSKJERM:\nPÅ
STR_FULLSCREEN_OFF;FULLSCREEN:\nOFF;ECRÃ INTEIRO:\nDESLIGADO;PANTALLA\nCOMPLETA: OFF;VOLLBILD:\nAUS;FULD SKÆRM:\nFRA;FULLSKÄRM:\nAV;FULLSKJERM:\nAV
STR_AUDIO;AUDIO;ÁUDIO;AUDIO;AUDIO;LYD;LJUD;LYD
STR_OPTIONS;OPTIONS;OPÇÕES;OPCIONES;OPTIONEN;INDSTILLINGER;INSTÄLLNINGAR;INNSTILLINGER
STR_HIGHSCORES;HIGHSCORES;PONTUAÇÕES;PUNTUACIONES;BESTENLISTE;HØJESTE SCORER;TOPPLISTOR;HØYESTE POENG
STR_PAUSED;PAUSED;PAUSADO;PAUSADO;PAUSIERT;PAUSE;PAUS;PAUSE
STR_RESUME;RESUME;RETOMAR;CONTINUAR;FORTSETZEN;FORTSÆT;FORTSÄTT;FORTSETT
STR_QUIT;QUIT;SAIR;SALIR;BEENDEN;AFSLUT;AVSLUTA;AVSLUTT
STR_RESTART;RESTART;REINICIAR;REINICIAR;NEUSTARTEN;GENSTART;STARTA OM;START PÅ NYTT
STR_MUSIC_VOLUME;MUSIC;MÚSICA;MÚSICA;MUSIK;MUSIK;MUSIK;MUSIKK
STR_GAME_VOLUME;GAME;GERAL;JUEGO;SPIEL;SPIL;SPEL;SPILL
STR_SELECT_MUSIC;SELECT MUSIC;SELECIONAR\nMÚSICA;SELECCIONAR\nMÚSICA;MUSIK\nAUSWÄHLEN;VÆLG\nMUSIK;VÄLJ\nMUSIK;VELG\nMUSIKK
STR_GAME_OVER;YOU LOST!;PERDESTE!;¡PERDISTE!;VERLOREN!;DU TABTE!;DU FÖRLORADE!;DU TAPTE!
STR_WON;YOU WON!;GANHASTE!;¡GANASTE!;GEWONNEN!;DU VANDT!;DU VANN!;DU VANT!
STR_FINAL_TIME;YOUR TIME:;TEMPO FINAL:;TU TIEMPO:;DEINE ZEIT:;DIN TID:;DIN TID:;DIN TID:
STR_NEW;NEW!;NOVO!;NUEVO!;NEU!;NY!;NY!;NY!
STR_RESET;"RESET\nDATA";"LIMPAR\nDADOS";"REINICIAR\nDATOS";"ZURÜCKSETZEN";"NULSTIL\nDATA";"ÅTERSTÄLL\nDATA";"NULLSTILL\nDATA"
STR_CONFIRM;"CONFIRM";"CONFIRMAR";"CONFIRMAR";"BESTÄTIGEN";"BEKRÆFT";"BEKRÄFTA";"BEKREFT"
STR_RESET_WARNING;"[center]RESET DATA WILL DELETE ALL PREVIOUS REGISTERED HIGHSCORES. ARE YOU SURE YOU WANT TO PROCEED?[/center]";"[center]LIMPAR OS DADOS APAGARÁ TODAS AS PONTUAÇÕES ANTERIORES REGISTRADAS. TEM A CERTEZA DE QUE DESEJA CONTINUAR?[/center]";"[center]REINICIAR LOS DATOS ELIMINARÁ TODOS LOS PUNTOS REGISTRADOS ANTERIORMENTE. ¿ESTÁS SEGURO DE QUE QUIERES CONTINUAR?[/center]";"[center]DAS ZURÜCKSETZEN DER DATEN LÖSCHT ALLE BISHER REGISTRIERTEN BESTENLISTEN. SIND SIE SICHER, DASS SIE FORTFAHREN WOLLEN?[/center]";"[center]NULSTILLING AF DATA VIL SLETTE ALLE TIDLIGERE REGISTREREDE HØJESTE SCORER. ER DU SIKKER PÅ, AT DU VIL FORTSÆTTE?[/center]";"[center]ÅTERSTÄLL DATA KOMMER ATT TA BORT ALLA TIDIGARE REGISTRERADE TOPPLISTOR. ÄR DU SÄKER PÅ ATT DU VILL FORTSÄTTA?[/center]";"[center]NULLSTILLING AV DATA VIL SLETTE ALLE TIDLIGERE REGISTRERTE HØYESTE POENG. ER DU SIKKER PÅ AT DU VIL FORTSETTE?[/center]"
